# L = 6 / J = 1 / lamb = 0.5
# particle_position = 2
# final_time = 10 / layers = 100
7.097639679342596652e-01 6.906682623681433819e-01 1.947493805458777871e-01 6.151406493955708932e-01 1.795528447059906163e-01 6.911948274812259596e-01 1.795528447059890897e-01 6.151406493955691168e-01 1.947493805458720140e-01 6.906682623681364985e-01 7.097639679342522268e-01
7.031029423726060656e-01 6.837577249164838999e-01 2.091487436127074939e-01 6.126949101021886834e-01 1.742169689974348568e-01 6.973137743860220450e-01 1.742169689974343849e-01 6.126949101021872401e-01 2.091487436127028310e-01 6.837577249164780158e-01 7.031029423725994043e-01
6.922777630143622796e-01 6.731359545531372390e-01 2.248594665545964322e-01 6.126341290900598757e-01 1.695545434912449356e-01 7.004900327712211272e-01 1.695545434912454352e-01 6.126341290900587655e-01 2.248594665545920745e-01 6.731359545531316879e-01 6.922777630143563954e-01
6.772937066551534269e-01 6.588644686439083520e-01 2.413692596100551202e-01 6.149876767199214944e-01 1.659443306404215224e-01 7.002927735118364971e-01 1.659443306404224661e-01 6.149876767199204952e-01 2.413692596100509291e-01 6.588644686439032450e-01 6.772937066551484309e-01
6.583208852824034008e-01 6.411538806768019017e-01 2.586741581801043632e-01 6.196018124026415608e-01 1.635690411774848030e-01 6.967153715107985423e-01 1.635690411774863295e-01 6.196018124026410057e-01 2.586741581800998668e-01 6.411538806767967946e-01 6.583208852823980717e-01
6.356969498318101319e-01 6.203625055374512032e-01 2.771953217363356536e-01 6.261448751697861193e-01 1.623817616711535905e-01 6.901646466738313723e-01 1.623817616711554779e-01 6.261448751697854531e-01 2.771953217363308242e-01 6.203625055374462072e-01 6.356969498318045808e-01
6.099009255982488220e-01 5.969691978470013094e-01 2.975763668928697592e-01 6.341235756758700770e-01 1.621288061623981092e-01 6.813721426677632476e-01 1.621288061623996080e-01 6.341235756758696329e-01 2.975763668928651517e-01 5.969691978469976457e-01 6.099009255982447142e-01
5.815064337406148365e-01 5.715286249326368972e-01 3.204161979660054560e-01 6.429137954359346319e-01 1.624275766339772220e-01 6.712528952661876991e-01 1.624275766339789984e-01 6.429137954359342988e-01 3.204161979660007931e-01 5.715286249326331225e-01 5.815064337406109507e-01
5.511273380711363412e-01 5.446211034921319971e-01 3.460082790013350174e-01 6.518085615380386777e-01 1.628845816752100828e-01 6.607475917155023470e-01 1.628845816752120257e-01 6.518085615380381226e-01 3.460082790013297993e-01 5.446211034921273342e-01 5.511273380711314562e-01
5.193696205217988027e-01 5.168093281918951787e-01 3.741548684790003132e-01 6.600822745514514089e-01 1.632273766633107748e-01 6.506838518406168337e-01 1.632273766633124401e-01 6.600822745514507428e-01 3.741548684789958168e-01 5.168093281918898496e-01 5.193696205217936956e-01
4.867999719916187296e-01 4.886109225033760106e-01 4.041047407342193143e-01 6.670648894591093558e-01 1.634180551851977248e-01 6.416828288885304543e-01 1.634180551851991681e-01 6.670648894591086897e-01 4.041047407342149844e-01 4.886109225033704595e-01 4.867999719916129009e-01
4.539353010202175076e-01 4.604899077806295926e-01 4.346306868530468437e-01 6.722146136142064243e-01 1.637173599867439988e-01 6.341223449135139356e-01 1.637173599867452201e-01 6.722146136142053141e-01 4.346306868530429579e-01 4.604899077806239305e-01 4.539353010202113459e-01
4.212500693245386785e-01 4.328637529886832924e-01 4.642270450760612177e-01 6.751750261644788864e-01 1.646781100693003874e-01 6.281522982045177894e-01 1.646781100693011923e-01 6.751750261644777762e-01 4.642270450760577205e-01 4.328637529886764646e-01 4.212500693245314620e-01
3.891923032732760857e-01 4.061176126086589178e-01 4.913769558085753775e-01 6.758038583771435182e-01 1.670629160553735448e-01 6.237464519335627067e-01 1.670629160553732673e-01 6.758038583771420749e-01 4.913769558085726574e-01 4.061176126086513682e-01 3.891923032732680920e-01
3.581961908948316786e-01 3.806152348326348744e-01 5.148217435447833834e-01 6.741661087569015276e-01 1.717004861253706716e-01 6.207694976995249414e-01 1.717004861253696169e-01 6.741661087568997512e-01 5.148217435447804968e-01 3.806152348326273804e-01 3.581961908948237960e-01
3.286803422712616385e-01 3.566975051136571095e-01 5.337650723651410356e-01 6.704922536765896002e-01 1.793123041965547226e-01 6.190398231281276642e-01 1.793123041965535847e-01 6.704922536765881569e-01 5.337650723651381490e-01 3.566975051136493380e-01 3.286803422712532008e-01
3.010258548019490998e-01 3.346642886657576477e-01 5.479620330239192150e-01 6.651105721641539237e-01 1.903521032906985988e-01 6.183750448161091651e-01 1.903521032906969612e-01 6.651105721641522583e-01 5.479620330239156623e-01 3.346642886657503202e-01 3.010258548019413838e-01
2.755359005082902435e-01 3.147417844208632021e-01 5.576734182084499558e-01 6.583684732657512084e-01 2.049007109136195548e-01 6.186161822082414385e-01 2.049007109136174454e-01 6.583684732657494321e-01 5.576734182084464031e-01 3.147417844208559856e-01 2.755359005082825830e-01
2.523864401284831027e-01 2.970440364596489413e-01 5.635002988925752465e-01 6.505595187810989666e-01 2.226474028609738975e-01 6.196341691727014211e-01 2.226474028609713440e-01 6.505595187810967461e-01 5.635002988925716938e-01 2.970440364596418359e-01 2.523864401284754977e-01
2.315834410752417583e-01 2.815415452796505846e-01 5.661446899537684319e-01 6.418703203166264970e-01 2.429679049757220988e-01 6.213267956057894059e-01 2.429679049757191844e-01 6.418703203166238325e-01 5.661446899537652122e-01 2.815415452796434237e-01 2.315834410752340977e-01
2.129436515253213535e-01 2.680505739968215284e-01 5.661608231025055948e-01 6.323557655932554589e-01 2.650835639371030839e-01 6.236141800305952110e-01 2.650835639370998087e-01 6.323557655932520172e-01 5.661608231025023752e-01 2.680505739968143120e-01 2.129436515253136930e-01
1.961126014362915559e-01 2.562532067375572487e-01 5.637636824587195505e-01 6.219440119465580175e-01 2.882626850535560115e-01 6.264372253497176857e-01 2.882626850535532359e-01 6.219440119465544647e-01 5.637636824587161088e-01 2.562532067375505873e-01 1.961126014362845893e-01
1.806254518944853671e-01 2.457510965842747419e-01 5.587465902177310983e-01 6.104663758275821195e-01 3.120103638491981135e-01 6.297582512842992974e-01 3.120103638491945608e-01 6.104663758275777896e-01 5.587465902177277677e-01 2.457510965842685247e-01 1.806254518944788168e-01
1.660053149968113706e-01 2.361467934860725371e-01 5.505316106145926591e-01 5.977031396668827101e-01 3.361921959312512698e-01 6.335586642744708286e-01 3.361921959312478281e-01 5.977031396668777141e-01 5.505316106145888844e-01 2.361467934860670415e-01 1.660053149968056529e-01
1.518823942199831467e-01 2.271378783150553582e-01 5.383424565424518304e-01 5.834350709565852000e-01 3.610514803884373736e-01 6.378271728688121867e-01 3.610514803884339319e-01 5.834350709565792048e-01 5.383424565424469455e-01 2.271378783150503622e-01 1.518823942199780397e-01
1.381087458834953652e-01 2.186032336444473645e-01 5.214579424642861172e-01 5.674919206888507928e-01 3.871062424687541914e-01 6.425345102033269695e-01 3.871062424687508052e-01 5.674919206888451306e-01 5.214579424642815653e-01 2.186032336444429514e-01 1.381087458834908965e-01
1.248401960308337943e-01 2.106594962016857531e-01 4.994826398595007544e-01 5.497924218489380621e-01 4.149451778194274132e-01 6.475962093347036319e-01 4.149451778194244156e-01 5.497924218489311787e-01 4.994826398594953143e-01 2.106594962016814787e-01 1.248401960308294228e-01
1.125604039669882428e-01 2.036698519294937448e-01 4.725654754646547717e-01 5.303739468417988379e-01 4.449718365089745942e-01 6.528317597498015656e-01 4.449718365089717631e-01 5.303739468417917324e-01 4.725654754646490541e-01 2.036698519294896370e-01 1.125604039669840378e-01
1.020321239373804534e-01 1.981963349251950890e-01 4.415079793292690513e-01 5.094125307491832455e-01 4.771654292083529203e-01 6.579339009336498956e-01 4.771654292083505333e-01 5.094125307491758070e-01 4.415079793292625010e-01 1.981963349251908146e-01 1.020321239373761096e-01
9.417562253880748524e-02 1.948989079996398255e-01 4.077290802906206046e-01 4.872343985928181409e-01 5.109283968212428029e-01 6.624635159701317555e-01 5.109283968212409155e-01 4.872343985928098697e-01 4.077290802906133327e-01 1.948989079996353013e-01 9.417562253880279455e-02
8.989088397942437969e-02 1.943971845731862769e-01 3.730867486476669437e-01 4.643183718792321391e-01 5.450735087684202007e-01 6.658821638215899341e-01 5.450735087684179803e-01 4.643183718792244230e-01 3.730867486476602268e-01 1.943971845731819470e-01 8.989088397941967512e-02
8.985493232341718040e-02 1.971207630028266600e-01 3.395905235955388735e-01 4.412856518118318250e-01 5.779700424204644582e-01 6.676258188594144105e-01 5.779700424204632370e-01 4.412856518118233318e-01 3.395905235955312684e-01 1.971207630028222468e-01 8.985493232341232317e-02
9.433474760755825028e-02 2.031792503355634438e-01 3.090651766575733816e-01 4.188714037172810989e-01 6.078274037998435686e-01 6.672116230533478021e-01 6.078274037998433466e-01 4.188714037172717730e-01 3.090651766575654991e-01 2.031792503355587254e-01 9.433474760755315713e-02
1.030572961200001414e-01 2.122816340269152724e-01 2.828384237811865654e-01 3.978732299092325730e-01 6.330559285131518443e-01 6.643575190951587217e-01 6.330559285131512892e-01 3.978732299092231361e-01 2.828384237811785717e-01 2.122816340269104429e-01 1.030572961199949233e-01
1.151702421122378084e-01 2.237266108285824173e-01 2.615218455341790094e-01 3.790759434271337436e-01 6.526190835713150395e-01 6.590862341950733949e-01 6.526190835713145955e-01 3.790759434271238071e-01 2.615218455341707937e-01 2.237266108285771993e-01 1.151702421122323960e-01
1.293110244451754209e-01 2.364721888861762156e-01 2.449348805434571896e-01 3.631592916323567177e-01 6.662865322158069148e-01 6.517834366039417793e-01 6.662865322158060266e-01 3.631592916323463927e-01 2.449348805434491128e-01 2.364721888861714139e-01 1.293110244451702029e-01
1.437810550718081060e-01 2.492769642657137741e-01 2.321912451449229531e-01 3.506030802235036159e-01 6.747160881181790693e-01 6.431865966278098590e-01 6.747160881181784031e-01 3.506030802234935684e-01 2.321912451449152370e-01 2.492769642657088336e-01 1.437810550718028602e-01
