# L = 6 / J = 1 / lamb = 0.5
# particle_position = 2
# final_time = 10 / steps = 100
5.535782347349921251e-02 5.535782347349921251e-02 2.193061579061305333e-01 2.116417469230354731e-01 7.668271006405711354e-01 9.332873800206098469e-01 7.668271006405713575e-01 2.116417469230352510e-01 2.193061579061302557e-01 5.535782347349906679e-02 5.535782347349906679e-02
5.137530109592290672e-02 5.137530109592290672e-02 2.384495336543456245e-01 2.464380366400981404e-01 7.413804107848924740e-01 9.321869411395415916e-01 7.413804107848925851e-01 2.464380366400978628e-01 2.384495336543454025e-01 5.137530109592274713e-02 5.137530109592274713e-02
4.889084329505798132e-02 4.889084329505798132e-02 2.588354639824369530e-01 2.819822603014442985e-01 7.135628320137874514e-01 9.289361340925061938e-01 7.135628320137876734e-01 2.819822603014440765e-01 2.588354639824367309e-01 4.889084329505783560e-02 4.889084329505783560e-02
4.976363383411763069e-02 4.976363383411763069e-02 2.817200026569209315e-01 3.183506172772445630e-01 6.823112098997096142e-01 9.221487089935915815e-01 6.823112098997099473e-01 3.183506172772441190e-01 2.817200026569205429e-01 4.976363383411745722e-02 4.976363383411745722e-02
5.542383398877186174e-02 5.542383398877186174e-02 3.076203268685894221e-01 3.557333116749216151e-01 6.472280110020205424e-01 9.109557657861895308e-01 6.472280110020209865e-01 3.557333116749211710e-01 3.076203268685889780e-01 5.542383398877165357e-02 5.542383398877165357e-02
6.665552100023985904e-02 6.665552100023985904e-02 3.361166063004202842e-01 3.942949152301541416e-01 6.086745448041954720e-01 8.951223771499059456e-01 6.086745448041958051e-01 3.942949152301535864e-01 3.361166063004198401e-01 6.665552100023960924e-02 6.665552100023960924e-02
8.351294467898771889e-02 8.351294467898771889e-02 3.658724444324696345e-01 4.340189436895082187e-01 5.676898523481097580e-01 8.750322461039592437e-01 5.676898523481103132e-01 4.340189436895074970e-01 3.658724444324690794e-01 8.351294467898737195e-02 8.351294467898737195e-02
1.053779188319090426e-01 1.053779188319090426e-01 3.948678421266893501e-01 4.745766556450015106e-01 5.257715862691367814e-01 8.515619236882062681e-01 5.257715862691374475e-01 4.745766556450007334e-01 3.948678421266888505e-01 1.053779188319085708e-01 1.053779188319085708e-01
1.311369725511824791e-01 1.311369725511824791e-01 4.207900943001913197e-01 5.152586632034846792e-01 4.845827175643760976e-01 8.258882609277130582e-01 4.845827175643765972e-01 5.152586632034837910e-01 4.207900943001907645e-01 1.311369725511818962e-01 1.311369725511818962e-01
1.594336514769658653e-01 1.594336514769658653e-01 4.414919849423398213e-01 5.549955480414805464e-01 4.456568269915735514e-01 7.992812656944336958e-01 4.456568269915741620e-01 5.549955480414795472e-01 4.414919849423392662e-01 1.594336514769651436e-01 1.594336514769651436e-01
1.889388132009393040e-01 1.889388132009393040e-01 4.554116492937981819e-01 5.924724987123621833e-01 4.101650731879817879e-01 7.729285995183701186e-01 4.101650731879823431e-01 5.924724987123612951e-01 4.554116492937978489e-01 1.889388132009384713e-01 1.889388132009384713e-01
2.185821222266410291e-01 2.185821222266410291e-01 4.618583225249037749e-01 6.263183736801468671e-01 3.787846119486510399e-01 7.478208394689815908e-01 3.787846119486516505e-01 6.263183736801458679e-01 4.618583225249033308e-01 2.185821222266401131e-01 2.185821222266401131e-01
2.477005003482784518e-01 2.477005003482784518e-01 4.611008480899597695e-01 6.553286374309457152e-01 3.516792162989761383e-01 7.247045044082811582e-01 3.516792162989768045e-01 6.553286374309446050e-01 4.611008480899595474e-01 2.477005003482773970e-01 2.477005003482773970e-01
