# L = 6 / J = 1 / lamb = 0.5
# particle_position = 2
# final_time = 10 / layers = 100
6.346094878325267974e-01 6.346094878325267974e-01 2.229176253579112088e-01 6.836924031438390559e-01 2.055535819420452881e-01 6.475129442550828784e-01 2.055535819420448995e-01 6.836924031438386118e-01 2.229176253579107370e-01 6.346094878325285737e-01 6.346094878325285737e-01
6.516042682472840131e-01 6.516042682472840131e-01 2.047034314536968769e-01 6.752784334827981461e-01 2.069420620059101712e-01 6.530888753128829549e-01 2.069420620059096716e-01 6.752784334827981461e-01 2.047034314536966271e-01 6.516042682472854564e-01 6.516042682472854564e-01
6.656569064580513118e-01 6.656569064580513118e-01 1.910770255281837859e-01 6.655257489656493108e-01 2.087847586827846214e-01 6.606112772380596798e-01 2.087847586827839552e-01 6.655257489656491998e-01 1.910770255281838415e-01 6.656569064580527550e-01 6.656569064580527550e-01
6.767146940711574743e-01 6.767146940711574743e-01 1.826715547663498584e-01 6.547615504106226725e-01 2.104443637499294473e-01 6.701968594099392273e-01 2.104443637499287534e-01 6.547615504106227835e-01 1.826715547663501915e-01 6.767146940711590286e-01 6.767146940711590286e-01
6.846545786160116442e-01 6.846545786160116442e-01 1.794062119092222629e-01 6.434836383471242982e-01 2.114134245713298055e-01 6.816243709133735784e-01 2.114134245713289728e-01 6.434836383471242982e-01 1.794062119092228458e-01 6.846545786160130875e-01 6.846545786160130875e-01
6.892739082480834334e-01 6.892739082480834334e-01 1.805592076482886721e-01 6.323002037247588136e-01 2.114337220677024731e-01 6.942787882200168736e-01 2.114337220677016127e-01 6.323002037247591467e-01 1.805592076482894215e-01 6.892739082480847657e-01 6.892739082480847657e-01
6.903211641755968575e-01 6.903211641755968575e-01 1.849886111536072908e-01 6.218628628560844973e-01 2.105643546885025696e-01 7.071799359712537258e-01 2.105643546885016815e-01 6.218628628560848304e-01 1.849886111536083733e-01 6.903211641755984118e-01 6.903211641755984118e-01
6.875568180643020222e-01 6.875568180643020222e-01 1.914381120396299318e-01 6.128011086626837800e-01 2.091733017862212329e-01 7.190967430796698645e-01 2.091733017862203448e-01 6.128011086626843351e-01 1.914381120396310976e-01 6.875568180643032434e-01 6.875568180643032434e-01
6.808260983375450381e-01 6.808260983375450381e-01 1.988448404137007075e-01 6.056614761911854883e-01 2.078462168551145628e-01 7.287268817326779669e-01 2.078462168551135358e-01 6.056614761911861544e-01 1.988448404137019287e-01 6.808260983375462594e-01 6.808260983375462594e-01
6.701226408449025840e-01 6.701226408449025840e-01 2.065695038076323653e-01 6.008520179887925083e-01 2.072300038453986915e-01 7.349043421579535273e-01 2.072300038453977755e-01 6.008520179887932855e-01 2.065695038076337531e-01 6.701226408449036942e-01 6.701226408449036942e-01
6.556252169799154927e-01 6.556252169799154927e-01 2.144935504315277353e-01 5.985931148045054995e-01 2.078504528884102531e-01 7.367897289965061880e-01 2.078504528884093372e-01 5.985931148045066097e-01 2.144935504315292896e-01 6.556252169799168250e-01 6.556252169799168250e-01
6.376977629857791818e-01 6.376977629857791818e-01 2.229663306712640902e-01 5.988785969811210030e-01 2.099555844204642752e-01 7.340021706250706712e-01 2.099555844204634425e-01 5.988785969811221133e-01 2.229663306712658388e-01 6.376977629857804031e-01 6.376977629857804031e-01
6.168532885577610037e-01 6.168532885577610037e-01 2.326262747266731878e-01 6.014547604312548978e-01 2.134341484371992947e-01 7.266664317638986681e-01 2.134341484371984621e-01 6.014547604312561191e-01 2.326262747266749364e-01 6.168532885577624469e-01 6.168532885577624469e-01
5.936919061508058038e-01 5.936919061508058038e-01 2.441525914876599146e-01 6.058267599465227971e-01 2.178408078691037586e-01 7.153695114505365105e-01 2.178408078691031202e-01 6.058267599465242403e-01 2.441525914876617742e-01 5.936919061508072470e-01 5.936919061508072470e-01
5.688295176326332303e-01 5.688295176326332303e-01 2.580194354940871793e-01 6.113001167033627059e-01 2.225297586407810058e-01 7.010414709673814526e-01 2.225297586407807005e-01 6.113001167033643712e-01 2.580194354940891777e-01 5.688295176326346736e-01 5.688295176326346736e-01
5.428350156474426313e-01 5.428350156474426313e-01 2.743195012809871991e-01 6.170590446920934946e-01 2.268650893463662055e-01 6.847898969273619185e-01 2.268650893463661222e-01 6.170590446920952710e-01 2.743195012809891975e-01 5.428350156474440746e-01 5.428350156474440746e-01
5.161900722737660097e-01 5.161900722737660097e-01 2.927010259831857586e-01 6.222741049572860783e-01 2.304493543116436227e-01 6.677231909203785731e-01 2.304493543116438448e-01 6.222741049572879657e-01 2.927010259831877570e-01 5.161900722737673419e-01 5.161900722737673419e-01
4.892780192620332924e-01 4.892780192620332924e-01 3.124285136955060604e-01 6.262220517076672044e-01 2.333008317415596056e-01 6.507948973425360384e-01 2.333008317415602439e-01 6.262220517076692028e-01 3.124285136955082254e-01 4.892780192620348467e-01 4.892780192620348467e-01
4.623993200510159163e-01 4.623993200510159163e-01 3.325430085115699264e-01 6.283940844904758460e-01 2.359197082942476043e-01 6.346921813616506203e-01 2.359197082942485479e-01 6.283940844904777334e-01 3.325430085115719248e-01 4.623993200510174151e-01 4.623993200510174151e-01
4.358033691623047212e-01 4.358033691623047212e-01 3.520719656349008964e-01 6.285679453963815000e-01 2.392126100968652580e-01 6.197800342353548819e-01 2.392126100968665070e-01 6.285679453963834984e-01 3.520719656349027282e-01 4.358033691623063866e-01 4.358033691623063866e-01
4.097220669078748267e-01 4.097220669078748267e-01 3.702282428907973100e-01 6.268255091347481045e-01 2.442857323271777070e-01 6.061019816701304075e-01 2.442857323271794279e-01 6.268255091347499919e-01 3.702282428907990863e-01 4.097220669078764921e-01 4.097220669078764921e-01
3.843909878170897465e-01 3.843909878170897465e-01 3.865443870398063142e-01 6.235094742921089006e-01 2.521572389512956591e-01 5.934297420795834332e-01 2.521572389512976575e-01 6.235094742921112321e-01 3.865443870398080350e-01 3.843909878170914118e-01 3.843909878170914118e-01
3.600488079318245882e-01 3.600488079318245882e-01 4.009093312397766784e-01 6.191272474041120688e-01 2.634669279612485981e-01 5.813487332469130520e-01 2.634669279612508186e-01 6.191272474041141782e-01 4.009093312397781772e-01 3.600488079318263646e-01 3.600488079318263646e-01
3.369135113656168690e-01 3.369135113656168690e-01 4.135033033412797154e-01 6.142230098968373131e-01 2.782662091025672191e-01 5.693631012289556148e-01 2.782662091025697726e-01 6.142230098968397556e-01 4.135033033412812697e-01 3.369135113656185898e-01 3.369135113656185898e-01
3.151424332196109956e-01 3.151424332196109956e-01 4.246550262499801942e-01 6.092466767765466473e-01 2.959516991580616874e-01 5.570026166208529306e-01 2.959516991580645739e-01 6.092466767765489788e-01 4.246550262499815265e-01 3.151424332196127165e-01 3.151424332196127165e-01
