# L = 6 / J = 1 / lamb = 0.5
# particle_position = 2
# final_time = 10 / steps = 100
6.341143458755346130e-01 6.341143458755346130e-01 2.224175542970560082e-01 6.837382548232365798e-01 2.057948443785244941e-01 6.482128156498823124e-01 2.057948443785227455e-01 6.837382548232342483e-01 2.224175542970544817e-01 6.341143458755300610e-01 6.341143458755300610e-01
6.510664685932532336e-01 6.510664685932532336e-01 2.042233370372916190e-01 6.752504513267014730e-01 2.072355209687051503e-01 6.539022178943234564e-01 2.072355209687036237e-01 6.752504513266990305e-01 2.042233370372898149e-01 6.510664685932486817e-01 6.510664685932486817e-01
6.650708828223370617e-01 6.650708828223370617e-01 1.905889739918825154e-01 6.654388765776710901e-01 2.091286710636620083e-01 6.615270080330294400e-01 2.091286710636608703e-01 6.654388765776684256e-01 1.905889739918803782e-01 6.650708828223323987e-01 6.650708828223323987e-01
6.760718268480661042e-01 6.760718268480661042e-01 1.821343007034713912e-01 6.546322411652147899e-01 2.108451720106860050e-01 6.711906807038887646e-01 2.108451720106852278e-01 6.546322411652121254e-01 1.821343007034688655e-01 6.760718268480612192e-01 6.760718268480612192e-01
6.839458302423961911e-01 6.839458302423961911e-01 1.787736878745970204e-01 6.433270590859830884e-01 2.118860322876822966e-01 6.826618861821899253e-01 2.118860322876819913e-01 6.433270590859802018e-01 1.787736878745939395e-01 6.839458302423910840e-01 6.839458302423910840e-01
6.884929313142064133e-01 6.884929313142064133e-01 1.797904415042797244e-01 6.321280619908739018e-01 2.119991275046262669e-01 6.953207905536058497e-01 2.119991275046266277e-01 6.321280619908709042e-01 1.797904415042763659e-01 6.884929313142011953e-01 6.884929313142011953e-01
6.894669860018116658e-01 6.894669860018116658e-01 1.840566214407805268e-01 6.216818625146920407e-01 2.112449582966717532e-01 7.081888273287878510e-01 2.112449582966726136e-01 6.216818625146889321e-01 1.840566214407768075e-01 6.894669860018063368e-01 6.894669860018063368e-01
6.866353424540858619e-01 6.866353424540858619e-01 1.903356142389342476e-01 6.126119587498504160e-01 2.099869502491884254e-01 7.200426832865016724e-01 2.099869502491900353e-01 6.126119587498468633e-01 1.903356142389301398e-01 6.866353424540803108e-01 6.866353424540803108e-01
6.798500110438974176e-01 6.798500110438974176e-01 1.975854252798135424e-01 6.054584184996791851e-01 2.088005814360830159e-01 7.295922541642824166e-01 2.088005814360850421e-01 6.054584184996755214e-01 1.975854252798090460e-01 6.798500110438918664e-01 6.798500110438918664e-01
6.691097592210659695e-01 6.691097592210659695e-01 2.051840964976521797e-01 6.006229439580195173e-01 2.083190175930446641e-01 7.356854976740654362e-01 2.083190175930471622e-01 6.006229439580156315e-01 2.051840964976472392e-01 6.691097592210601963e-01 6.691097592210601963e-01
6.545957581584316287e-01 6.545957581584316287e-01 2.130231233560866966e-01 5.983204322592677871e-01 2.090541530462291242e-01 7.374956432665258355e-01 2.090541530462316222e-01 5.983204322592636792e-01 2.130231233560815063e-01 6.545957581584260776e-01 6.545957581584260776e-01
6.366712983085812683e-01 6.366712983085812683e-01 2.214527269640533813e-01 5.985410107565475313e-01 2.112438700439789319e-01 7.346504263510176269e-01 2.112438700439815131e-01 5.985410107565430904e-01 2.214527269640478579e-01 6.366712983085756061e-01 6.366712983085756061e-01
6.158462246022662345e-01 6.158462246022662345e-01 2.311033889116693718e-01 6.010300097134237962e-01 2.147738631242678553e-01 7.272775796813280014e-01 2.147738631242702700e-01 6.010300097134191333e-01 2.311033889116633488e-01 6.158462246022604614e-01 6.158462246022604614e-01
5.927161656665987932e-01 5.927161656665987932e-01 2.426399704631495291e-01 6.052951195906278725e-01 2.192044936626075247e-01 7.159611842882065424e-01 2.192044936626098006e-01 6.052951195906226545e-01 2.426399704631432563e-01 5.927161656665929090e-01 5.927161656665929090e-01
5.678927340567629933e-01 5.678927340567629933e-01 2.565196774243390654e-01 6.106481818016640251e-01 2.239037252186064086e-01 7.016235528579557457e-01 2.239037252186082128e-01 6.106481818016586960e-01 2.565196774243325151e-01 5.678927340567572202e-01 5.678927340567572202e-01
