# L = 6 / J = 1 / lamb = 0.5
# particle_position = 2
# final_time = 10 / steps = 100
5.535782347349899046e-02 5.535782347349899046e-02 2.193061579061310606e-01 2.116417469230361670e-01 7.668271006405751322e-01 9.332873800206145098e-01 7.668271006405751322e-01 2.116417469230360560e-01 2.193061579061311162e-01 5.535782347349930271e-02 5.535782347349930271e-02
5.137530109592272631e-02 5.137530109592272631e-02 2.384495336543462907e-01 2.464380366400989730e-01 7.413804107848965819e-01 9.321869411395466987e-01 7.413804107848966929e-01 2.464380366400989175e-01 2.384495336543464017e-01 5.137530109592297611e-02 5.137530109592297611e-02
4.889084329505781479e-02 4.889084329505781479e-02 2.588354639824378411e-01 2.819822603014453533e-01 7.135628320137917813e-01 9.289361340925115229e-01 7.135628320137918923e-01 2.819822603014452977e-01 2.588354639824378411e-01 4.889084329505804377e-02 4.889084329505804377e-02
4.976363383411749192e-02 4.976363383411749192e-02 2.817200026569219862e-01 3.183506172772457843e-01 6.823112098997137220e-01 9.221487089935971326e-01 6.823112098997137220e-01 3.183506172772456733e-01 2.817200026569219862e-01 4.976363383411767233e-02 4.976363383411767233e-02
5.542383398877173684e-02 5.542383398877173684e-02 3.076203268685906989e-01 3.557333116749231694e-01 6.472280110020245392e-01 9.109557657861949709e-01 6.472280110020249833e-01 3.557333116749229474e-01 3.076203268685905323e-01 5.542383398877191725e-02 5.542383398877191725e-02
6.665552100023972026e-02 6.665552100023972026e-02 3.361166063004217275e-01 3.942949152301559179e-01 6.086745448041991358e-01 8.951223771499113857e-01 6.086745448041994688e-01 3.942949152301555849e-01 3.361166063004215054e-01 6.665552100023991455e-02 6.665552100023991455e-02
8.351294467898756624e-02 8.351294467898756624e-02 3.658724444324712999e-01 4.340189436895101616e-01 5.676898523481134218e-01 8.750322461039647948e-01 5.676898523481139769e-01 4.340189436895097730e-01 3.658724444324710223e-01 8.351294467898778828e-02 8.351294467898778828e-02
1.053779188319088206e-01 1.053779188319088206e-01 3.948678421266911820e-01 4.745766556450036200e-01 5.257715862691402231e-01 8.515619236882119303e-01 5.257715862691407782e-01 4.745766556450030649e-01 3.948678421266907379e-01 1.053779188319091537e-01 1.053779188319091537e-01
1.311369725511821738e-01 1.311369725511821738e-01 4.207900943001932070e-01 5.152586632034868996e-01 4.845827175643793172e-01 8.258882609277187203e-01 4.845827175643799278e-01 5.152586632034864556e-01 4.207900943001928185e-01 1.311369725511825901e-01 1.311369725511825901e-01
1.594336514769655322e-01 1.594336514769655322e-01 4.414919849423418197e-01 5.549955480414829889e-01 4.456568269915766045e-01 7.992812656944392469e-01 4.456568269915771041e-01 5.549955480414823228e-01 4.414919849423414311e-01 1.594336514769659763e-01 1.594336514769659763e-01
1.889388132009388876e-01 1.889388132009388876e-01 4.554116492938004024e-01 5.924724987123647368e-01 4.101650731879845635e-01 7.729285995183755587e-01 4.101650731879852296e-01 5.924724987123641817e-01 4.554116492937998473e-01 1.889388132009395260e-01 1.889388132009395260e-01
2.185821222266405850e-01 2.185821222266405850e-01 4.618583225249062174e-01 6.263183736801496426e-01 3.787846119486535934e-01 7.478208394689869198e-01 3.787846119486542040e-01 6.263183736801491985e-01 4.618583225249055513e-01 2.185821222266413622e-01 2.185821222266413622e-01
2.477005003482780077e-01 2.477005003482780077e-01 4.611008480899623785e-01 6.553286374309486018e-01 3.516792162989784698e-01 7.247045044082864873e-01 3.516792162989790249e-01 6.553286374309480466e-01 4.611008480899616568e-01 2.477005003482788403e-01 2.477005003482788403e-01
2.760806238337371599e-01 2.760806238337371599e-01 4.542436446465651367e-01 6.786708020279955678e-01 3.285764239818631527e-01 7.040898240487669657e-01 3.285764239818637078e-01 6.786708020279950127e-01 4.542436446465641930e-01 2.760806238337381036e-01 2.760806238337381036e-01
3.038974473087834305e-01 3.038974473087834305e-01 4.429262611055566623e-01 6.960238980134920705e-01 3.089079286127151547e-01 6.862881942625482790e-01 3.089079286127157098e-01 6.960238980134915154e-01 4.429262611055555521e-01 3.038974473087845407e-01 3.038974473087845407e-01
3.315733766828975471e-01 3.315733766828975471e-01 4.289249414384829207e-01 7.076194350819979828e-01 2.919737473488496216e-01 6.714530412831726247e-01 2.919737473488502877e-01 7.076194350819973167e-01 4.289249414384817549e-01 3.315733766828986573e-01 3.315733766828986573e-01
3.595981069692202325e-01 3.595981069692202325e-01 4.137570834093667882e-01 7.141756638913172583e-01 2.770948164123187563e-01 6.596063667585836399e-01 2.770948164123193669e-01 7.141756638913165922e-01 4.137570834093655114e-01 3.595981069692211762e-01 3.595981069692211762e-01
3.883542184241539630e-01 3.883542184241539630e-01 3.983863239672561507e-01 7.167427566015565077e-01 2.637293171984878559e-01 6.506471598931369282e-01 2.637293171984884665e-01 7.167427566015557305e-01 3.983863239672549295e-01 3.883542184241547401e-01 3.883542184241547401e-01
4.179879002578174574e-01 4.179879002578174574e-01 3.830979994545007372e-01 7.164967855151517240e-01 2.515405953755582291e-01 6.443510997046093536e-01 2.515405953755588953e-01 7.164967855151508358e-01 3.830979994544992939e-01 4.179879002578182901e-01 4.179879002578182901e-01
4.483497440514830901e-01 4.483497440514830901e-01 3.675691914584969244e-01 7.145301116935256491e-01 2.404152685208946205e-01 6.403781714188521157e-01 2.404152685208952867e-01 7.145301116935247610e-01 3.675691914584956477e-01 4.483497440514838672e-01 4.483497440514838672e-01
4.790114774892104132e-01 4.790114774892104132e-01 3.511064180667220480e-01 7.116832285958231141e-01 2.304372472500932911e-01 6.383033196468436143e-01 2.304372472500939295e-01 7.116832285958221149e-01 3.511064180667208268e-01 4.790114774892111349e-01 4.790114774892111349e-01
